Genes	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_AST_50cell_S2-A4_1_8446.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_AST_50cell_S2-B4_1_8447.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_AST_50cell_S2-C4_1_8449.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_AST_50cell_S2-D4_1_8455.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_GSC_50cell_S2-A1_1_8441.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_GSC_50cell_S2-B1_1_8442.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_GSC_50cell_S2-C1_1_8452.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_GSC_50cell_S2-D1_1_8456.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MAC_50cell_S2-A7_1_8453.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MAC_50cell_S2-B7_1_8454.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MAC_50cell_S2-C7_1_8448.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MAC_50cell_S2-D7_1_8451.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MIC_50cell_S2-A10_1_8443.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MIC_50cell_S2-B10_1_8444.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MIC_50cell_S2-C10_1_8445.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MIC_50cell_S2-D10_1_8450.d
CPSF4	4035.16	2927	3954.98	4096.21	4455	4183.62	4045.51		3779.39	3827.97	3742.56	4038.9	5129.9	4273.86	3905.77	4267.47
CPSF6	28851	28356.5	36589.7	29632	29841.7	29778.4	43669.2	54463.6	37568	41110.9	28349.9	35830	42360.4	46331.1	42812.3	38245.5
CPSF7	57321.9	43293.4	50268.6	42506.5	61475.3	54580.6	63320.5	54998.7	51291.8	51200.7	58267.7	52320.2	46292.8	48837.4	45633.6	46941.7
CPT1A	8700.4	11277.9	11498	7165.11	16867.8	16992.5	17387.9	15001.6	28309.4	25841.9	29222.8	24223.5	26449.7	25612.6	24800	24880.3
CPT2	9849.01	8829.03	7771.47	8755	12145.2	14703.9	12513.4	11915.2	41544.1	35742.7	38019.4	43761.3	42600.5	37544.9	45054.6	39722.7
CPVL	9237.85	8358.75	13168.9	12049.5			70856.5	35725.3	817235	922382	983185	792848	176985	208477	182015	154313
CRABP1	4065.57															
CRABP2	314155	412918	444277	525191				8356.62	19459.3	10580.5	14986.5	15288.5	40663.4	10107.5	26313.9	32482.5
CRADD	5027.78	5095.66	6174.66	5154.44	2691.59	4232.96			4571.54	4495.63	5169	6758.72	5619.83	3014.42	3875.8	4029.81
CRAT	13835.9	14030.6	15626.7	12586.8	21715.2	23545.2	22796	23629.2	17166.8	16819	18009.1	16932.1	14808.3	11710	12061.7	12313.4
CRBN	3519.04	2613.98	2268.63	2257.1	2772.89	3835.93		3368.17	4099.94	2292.58	2900.99	3138.23	4657.81	2387.58	2710.22	3409.33
CRCP									1436.8	1436.13				1437.5		1483.86
CREB1	16897.7	12677	13409.7	12385.9	19964	16524.5	16702.2	18695.2	15020.3	13420.7	15363.7	15273.6	16867.1	13601.6	12949.9	14092
CREBBP	1169.76	718.206	1210.11	1117.73	1000.41	993.405	1194.32	1235.01	743.414	718.27	820.371	635.938	1142.81		476.115	481.915
CREBRF	27221.7	13196.8	19974.6	3898.75	53426.2	12655.9	32748.5	18036.1	38247.5	11375.8	35673.6	43211.9	89780.5	12415.6	15951.5	29756.5
CREG1	10804.4		13398.5			5827.86			44284.2	112084	62086.1	63591.9	16282.2	19199.4		10801.6
CRIP2	4665.84	2633.99	1515.54	837.664												
CRISP3	7426.98										5915.21			4033.37		
CRK	47338.3	41184.7	40116.2	40994.3	24759.9	30186.2	30296.8	28222.9	35884.6	37678.2	39584.5	37362.9	31180.2	29956.6	30227.8	32059.3
CRKL	21810.5	21381.7	22690.2	25125.6	35555.8	36040.8	29847.8	46820.4	41822	42671.4	43072.8	32923.5	42748.7	40581.4	41709.3	44410.1
CRLF3	3099.29	4659.4	7024.91	4887.78	5071.6	6457.25	7831.59	7939.46	11471	13471.5	12893.2	13037.1	10760.4	13765	11252.7	10280
CRMP1	101054	107448	136027	116049	44569.1											
CRNKL1	8548.43	7996.61	7432.23	6767.9	9807.83	8238.45	8449.36	8153.71	7203.83	7146.47	7285.02	9559.35	9319.82	6252.66	7894.88	8634.08
CRNN	4745.94	3247.58	15147	1258.42	1015.88	1303.95	2019.49	2440.63	3735.19	3853.78	9751.96	7851.05	6780.83	4548.05	3378.68	2674
CROT	5035.87	3766.91	3863.72	3520.45					3805.86	2199.81	3150.83	2883.18			2379.99	2862.29
CRTAP	89001	115596	146995	114482	23933.3	18474.5	23296.3	20835.4	32598	35599	41236.6	32683.8	24109.5	26789.1	29009.2	27235
CRTC2	8722.09	6779.99	5603.09	4893.14	9239.91	8287.59	9050.75	11446.9	6373.86	5418.8	6543.24	8704.7	8609.65	5919.59	4904.54	7036.38
CRTC3		2198.91	3734.27	2492.55		959.879			2698.23	3888.57	3672.81	2514.46	1821.86	3991.97	3276.45	2316.08
CRYAB	171765	196829	141892	214302	8411.17	7104.08	6690.85	10064.7	20165.8	10842.8	12858.6	11813.3	13070.9	2319.39		10249.9
CRYBB1									22407.7	25308.3	17877	30433	9618.53	9216.46	9130.24	10106.8
CRYBG1	21008.7	18808	21328.1	18369.8	43107.3	48363.1	44843.6	46924.7	22847.8	19602.2	20948.3	18117.2	27082.5	21027.9	19400.2	26414.6
CRYBG3	2874.04	2641.95	2321.37	2972.91	2090.53	2508.56		2123.03		1836.37	1472.8	2412.46	1299.97	979.359	1003.1	2121.09
CRYL1	5903.84	4866.17	3631.67	3922.12	8483.72	8862.71	8156.92	8045.44	40286.8	43022.4	39626.6	44174.1	20741.2	15672.6	17262.9	18773.2
CRYZ	47208.7	44029.7	46132.2	47731.5	47895.9	62972.2	59900.9	61656	33303.8	37134.5	37918.6	34061.5	36818.8	32362.5	31950.6	29729.7
CRYZL1	18915.6	20675.8	17540.1	19800.8	12597.9	11791.4	12740.3	14921.9	15658.6	16149.4	15449.5	18208.8	13659.6	14547.7	13637.2	13657
CS	190209	230371	230414	228841	243160	232558	241957	272535	326079	338070	292151	303799	414813	362371	368457	399702
CSDE1	47016.4	46562.8	36550.5	44480.4	38773	40028.9	39109.9	39460.8	38149.3	28978.1	32266	34581.4	39396.1	33957.6	34249.6	35566.6
CSE1L	52098.4	59713.4	55965.3	56558.5	80304.6	93322.9	73069.4	67636.3	54396.9	54611.6	51136.6	55989	45721.8	53922	58726	48155.3
CSF1									11312.2	5504.85	6473.33	8902.6		4932.75	3083.11	1156.47
CSF1R									17915.4	18832.6	13196.5	17015.8	7218.84	9141.84	6961.01	6860.18
CSF2RA									2945.27	2787.65	2538.77	2270.5	1573.29	2725.62	1969.09	2151.93
CSK	23743.3	26109.5	28240.7	24150.4	26319.5	27243.6	22902.9	24611.3	62774.6	72896.5	75328.8	67765.5	63048.1	78175.2	73652.4	73739
CSNK1A1	10991.3	13576.9	16822.2	13746	7065.97	10069.9	5577.98	8314.37	14866.4	13819.8	11693	10393.6	15800	10774.4	13350.2	10688.8
CSNK1D	14662.3	13798.3	12929.1	13562.1	12787.9	14762.2	15556.8	16828.6	14564.9	14744.2	13060.1	13240.4	10169.7	12765.9	14453.8	12028.5
CSNK1E	10069.3	9734.8	9783.34	8578.51	7141.87	7243.13	8127.98	7634.14	6117.45	4194.62	5058.77	6247.48	5063.4	3832.57	4231.03	4278.75
CSNK1G3	354.278	903.102	796.677	526.713						600.659	569.377	443.463				405.5
CSNK2A1	1753.69	1207.39	1925	1760.64	1893.67	941.083			2121.1	2293.2	3918.48	3530.88	2526.9	2776.92	4656.3	3214.78
CSNK2A2	9527.43	8346.44	11235.2	7710.55	8149.02	6362.81	7279.82	7082.56	9250.06	11244.9	12418.2	11944.9	12161.9	11210.5	11714	11597.7
CSNK2B	5264.85	5219.64		8057.56		3597.04			8586.25	18983.8		6720.21	8395.79	24147.8	27788.2	13651.5
CSPG4	34715	34806.8	41114.3	42849.5					7118.4	8711.51			9454.91	6890.32	12116	10620.3
CSPP1	60046.7	73589.4	72988.2	9690.85	118664	102431	113426	116754	215975	153561	250558	238697	61876.8	39532.3	62835.4	191004
CSRP1	68007	59588.2	128865	45225	54744.5	97119.9	47627.7	44946.9	51285.4	62909.1	75526.2	40879.8	63978.3	88749	88567.4	73358.3
CSRP2	68475.7	70969.7	139963	64396.1	31384	42759.1	41657.2	46448.7			9106.71					
CST3			4955.53	6404.15					8786.18	10340.7	8186.81	9247.36	6229.19	9549.58	8106.89	6828
CST4	3075.3	861.804	2638.42		1404	1005.04	973.286	1034.84	2193.2	2393.68	3556.43	4907.29	1657.9	1607.56	1540.42	1723.68
CST6	4818.69	3404.99	3355.39	1913.35	5158.12	4878.19	5762.54	6347.54	5914.26	5258.64	4881.25	7994.51	18107.8	4754.5	4002.56	5484.57
CSTA	36480.7	17939	28414.9	8406.16	29287.5	30228.3	29977.8	33997.7	51140.1	21834.7	76970.8	86792	423524	26380.6	24827.8	65603.1
CSTB	37718.1	39814.2	70352.6	43815.9	17611.5	21302.9	16276.4	12199.7	290583	175382	369916	296993	172491	106276	208518	230642
CSTF1	6526.76	8914.42	11163.7	7868.74	7785.36	6719.38	9813.97	7130.08	7666.62	8356.83	9010.81	9336.31	10442.8	11606.8	10814.4	11712.8
CSTF2	15568.7	14674.8	13100.9	15633.7	17971.6	18579	17320	17527.8	18206.4	13153.9	11024.5	16112.2	19949.2	14772.1	17671.1	16779.8
CSTF2T	1899.12	2047.49	2050.7	2363.29	1473.42	1189.55	1093.4	2047.07	1715.84	1416.41	1626.01	1525.02	2400.06	1553.73	2112.8	2673.9
CSTF3	26397.9	23877.7	22623.6	23310.5	27132	29271	27952.9	30209.7	23719.1	23404.3	19374.7	21252.8	28982.1	25716	28874	26449.4
CTBP1	45044.4	52048	44609.9	46954	69264	74593	71071.3	67838.2	40586.7	42400.4	35950.5	45499.5	45292.1	42614.1	43106.9	42528.7
CTBP2	24470.5	24194.6	22094.9	21246.8	44627	49554.4	52695.4	39361	15977.6	13107	12754.9	14725.9	19450.9	23074	22212.9	20941
CTBS	3713.72	3401.9	4088	3499.59		1319.15			30981.6	34343.1	32068.8	28000.5	12033.3	11207.2	9345.21	7898.35
CTCF	3108.11	3678.71	5260.66	3142.86	3026.29	6397.73	2428.8	3126.33	7182.6	5857.5	5331.09	4428.87	4811.46	4830.41	6980.49	6228.27
CTDNEP1	6951.69	6094.9	7854.14	7404.64					10532	9387.26	10686.8	9040.29	9776.37	9415.82	9228.22	8765.55
CTDP1	26990.1	27090.3	23013	25875	17073.7	17991.5	19268.9	21985.7	28404.2	25514.7	26882.4	31090	32963	29220.6	27071.5	31434.6
CTDSPL2	6291.27	5348.87	6462.67	5622.87	11800.4	11839.5	11344.4	11751.4	5889.97	6297.05	6175.17	6596.32	3973.28	3982.5	4970.47	4435.16
CTF1	3379.01	3344.71	4530.14	3973.9		565.378	731.725				1003.17		459.533			
CTH	10803.8	8740.38	9609.91	11458.7	8145.41	7903.14	7065.27	6163.32		5079.16	1392.64		4103.53	5182.09	2886.84	
CTIF	13716.8	11434.1	10095.3	10313.2	1967.36	1807.16		1921.38	4439.41	3412.56	4282.45	3502.56	3504.73	2101.96	3230.98	3857.68
CTNNA1	80780.5	79606.6	72284.2	77303.8	46099.2	44949.4	42436.1	47552.4	14296.3	11586.1	16645.9	14705.4	14357.6	10833.8	11894.9	13997.6
CTNNA2	22974	25951.4	22685	31269	22314.8	21394.4	19071	25034.8	6279.9	4135.48	5132.09	6387.04	2906.66	4445.35	3894.92	3924.48
CTNNAL1	1536.8	1525.87	1344.41	1484.4	3242.61	3553.35	3640.68	2822.68	2146.2	1638.02	1503.43	3124.59			824.958	1366.9
CTNNB1	26518.7	34197.8	38650.6	34399.3	11763.8	12041.1	13419.8	15124.7	3983.86	4141.71	5728.95	5027.5	2399.81	3485.76	2341.99	4276.74
CTNNBL1	32286	36159.2	33152.4	34215.5	36833.7	38462.8	40888.4	38820.8	31576.5	33303.9	27181.8	32696.6	34557.3	37498.8	31427	33042.1
CTNND1	41581.8	39496.7	54601.6	42396	21203.4	30189.9	26287.9	27702.9	31409.5	34409.9	33559.1	30158.2	41781.4	52467.2	45686.2	47173.8
CTPS1	28013.4	23492.7	30943.4	24627.2	15870.2	25303.8	28810.5	22234.7	29685.6	32900.9	31120.3	28256.8	34520.7	42342.2	39506.5	39640.1
CTPS2	21468.8	17850.4	17081.6	14633	25173.3	24279.9	23792.5	22859.4	19899.4	20040.4	21332.2	23835.5	18784	16184.4	17107.5	16754.4
CTR9	11830	10078.2	11032.7	10533.5	14545.7	12905.8	11575.1	13395.5	13164.1	12161.7	12784.8	14690.3	16121.9	15736.9	13401.3	13590.9
CTSA	21523.6	22503.3	29929	26940.2	3459.55	7119.97	7854.42	3880.91	58274.5	76952.9	69795.9	60336.5	46268.4	43603.4	38440.2	38644.8
CTSB	389216	286536	349844	284295	343191	332561	311027	363401	3.21322e+06	2.6454e+06	3.45979e+06	2.15294e+06	799121	1.13614e+06	935769	878340
CTSC	47671	32251.3	53982.7	43452.4	26392.8	32717.2	36025	24807.5	2.79265e+06	2.72601e+06	2.5841e+06	2.79908e+06	762073	683031	641383	655274
CTSD	499897	400937	509452	375497	350384	398754	355313	309820	5.52036e+06	4.56047e+06	4.19853e+06	5.21216e+06	1.84711e+06	1.66625e+06	1.64207e+06	1.61538e+06
CTSG	13496.2	35937.7	29616.3	7350.19	8416.27	9173.78	9746.3	11187	36532.7	28036.2	41778.3	48491.4	28454.3	45177.8	30975.5	22664.4
CTSH	2608.76	3123.14		2728.14		2583.57		3082.97	23374.7	27868.9	21671.1	21427.8	18348.5	21175.6	17141.7	14946.8
CTSL	3498.4	5356.84	6831.89	3823.55	5307.68	3339.51	4291.02		20536.2	22022.2	18267.9	15570.1	15186.7	17250.6	17206.7	19703.9
CTSS	12967.3	5717.82			9698.84	8539.28		7106.4	101555	172814	116149	111896	91347.3	146822	120458	70411.5
CTSV	3845.73	2249.71	3797.3		3088.53	1758.3	3208.97	2517.38	1355.38	2148.83	2891.21	2630.15	14585.7	1150.03	1792.55	1740.2
CTSZ					4508.16	5584.03	3549.15	3162.18	321113	351260	358695	214226	93432.3	192492	152318	112394
CTTN	77576.9	92952.2	107185	76070.5	75930.1	57472.5	72008	80531.1	19695.6	15911.8	30859.2	8943.27	33264.4	18870.5	27466.5	31229.9
CTTNBP2NL	28701.5	27285.9	21197.4	25251.5	15125.8	12982.1	14098.2	13955.2	16764.3	11776.5	12159.7	12484.7	16207.1	12490.9	12299.4	14498.5
CTU1	3679.17	4316.86	4797.9	4154.55	762.06	2054.36		1254.99	3571.18	4028.51	3343.82	3193.81	4572.75	2799.58	3592.49	3780.74
CTU2	3829.57	4784.54	2959.23	3763.32	4295.37	6848.15	4794.53	5523.54	4270.23	2842.06	2971.55	3975.78	4443.16	3391.29	4154.74	4390.69
CUEDC1	8302.54	10001.5	8189.15	9516.1	4336.93	5553.02	5811.83	5154.79	7192.41	6638.13	8992.37	8806.99	4411.79	4542.68	3172.02	6460.42
CUL1	20627.4	20983	21863.7	19646.6	21989.3	27964	24669.1	26306.4	22714.7	23712.2	21172.2	22549.9	20399.6	24011.9	21209.3	21331.2
CUL2	12659.7	14676.6	19475.7	16097.3	6885.24	9395.83	7793.6	6448.38	21304.6	27833.2	23057.6	19306.5	25278.3	28778	28218.3	23169
CUL3	15167.3	14790.3	16967.9	14673.4	12447.9	13359.3	12772.9	11798.1	13206.4	11776.6	13972.4	14054.9	12845.3	12900.5	12069.9	13018.2
CUL4A	21194.7	17980.5	12127.5	15692.4	26551.2	29429.5	22324.9	24457.5	20075.6	16226.2	17547.3	19423.8	19701.7	12749.4	14179	18622.8
CUL4B	19875.9	20643.8	19425.7	18260.7	20763.5	20281	21204.6	20718.8	14490.1	14123	14992.2	14517.8	11258.8	11534.2	10538.6	11585.3
CUL5	26523.1	29789.2	25585.7	30749.3	23277.9	26868.8	24219.3	23472.7	25610.5	24786.3	22506.9	27142.5	23231.7	20109.4	23668.6	22740.1
CUL7	18674.5	15915.2	13643.6	15727.1	7477.55	7019.16	7853.23	8601.52	6968.93	5497.39	8558.46	7516.56	6764.7	6395.61	5511.26	7153.37
CUSTOS	7252.36	5957.66	6379.54	6759.12	11156.3	12550.6	11267.9	12821.3	6502.07	4929.74	5437.21	5641.87	7117.32	5913.38	6108.77	6395.79
CUTA	96825	99206.9	104013	115920	98729.8	91282.2	106175	124981	67162.9	79017.8	67207.8	86604.7	61275.5	33504.4	32293.1	34250.6
CUX1	13284	10552.5	11127.6	10062.1	7539.79	5996.29	7140.83	7402.43	8429.19	6909.68	8744.52	10011.3	11336.3	8646.9	9654.53	10941.7
CWC15	15577.9	14069.4	12815.1	15075.5	15397.1	18378.5	17600.3	17643.6	14702.4	13696.3	14045.4	15247.1	12114.5	12831.9	12658	12869
CWC22	7710.35	7091.43	7127.63	6639.53	9218.49	9889.58	8868.37	9042.4	7301.5	7341.86	7166.05	7665.49	8278.23	7536.01	7116.52	7315.68
CWC27	4034.23	4118.18	3771.15	3527.51	6669.7	5076.33	10040.2	7961.17	4838.16	4825.42	5243.99	4756.02	5478.81	5304.03	4975.72	4125.92
CWF19L1	9349.58	8374.56	8083.87	8152.61	14873.2	14488.6	16090.4	13163.5	12251.5	11194.9	10743.9	14922.7	11401.3	9046.27	10376.1	12590.9
CWF19L2		1180.09	1542.94	1016.75		1861.08	2387.28	2788.76	935.107	854.601	1091.43		903.105	733.362	731.033	626.572
CX3CR1								1284.52					3979.96	3266.85	2989.58	2756.61
CXADR					11482.2	11817	10180.9	9160.96					4907.02	5621.77	6007.3	4313.26
CXXC1	3381.29	2995.55	2742.57	2890.82	2681.05	3288.58	3245.52	2801.45	2870.28	3383.48	3222.11	3561.54	4128.1	3982.18	3755.3	3583.33
CXorf38	11388.5	12366.2	11861.1	12016.8	15817.4	18314.7	12912.6	24817.9	23262	19874.6	18088.1	17432	17689	19361	21000.5	17488.4
CXorf56	5015.16	5800.56	4014.59	5420.35	7600.65	7827.68	7971.16	9215.76	4295.55	3932.32	2566.17	4674.48	5206.78	4306.4	3887.03	3848
CYB561D2									1599.2	2115.71	2296.34	1783.08	1331.19	2950.99	3967.63	2057.54
CYB5A	16096.9	18453.6	19828.3	17904.6	4450.15	8286.9	3810.24	3964.61	10428.5	10729.8	10304.7	8794.79	14394.4	15325	16583.8	10972.9
CYB5B	3484.62	4722.64	4992.87	4167.06	3246.02	3890.69		3017.44	10544.4	10160.6	12005.8	9127.06	7215.13	9145.93	12235.6	8441.65
CYB5R1	42054.4	35218.1	36117	29722.6	28985.6	24060.1	22112.6	27792.1	73730.7	59264.7	69745.9	74230.9	71376.4	53142.5	62509.8	57661.9
CYB5R2	7624.59	4784.96	4789.29	4310.11	2646.28	4494.06	5100.71	3896.92			3838.27		25889.4		1087.19	1281.25
CYB5R3	584843	608203	627983	524774	223008	253064	203617	198675	262276	230292	268637	257621	325502	257587	299220	290915
CYB5R4	1568.64	3224.69	3030.48	3841.2	3217.67	2817.55	3563.06	4391.77	4126.95	5295.84	5389.34	5746.08	5456.27	4806.41	4330.82	5320.83
CYBA									95942.8	79499.8	36948.2	83409.4	90713.4	141924	123576	66862.3
CYBB	6085.41	3697.99	8350.92			62771.7	3306.2		123377	138729	118468	135043	133323	132867	152205	118911
CYBC1	6133.29	6129.02	9374.02	6747.52	12056.9	6321.43	3793.79		11007.9	14709.6	13125.8	8427.28	10897.9	11360.4	8407.96	9079.6
CYBRD1	16913	16035.6	13705.1	13339.1	18028.1	18790.7	16631.2	18727.6	33815.9	29366.5	38613.2	37612.7	11161.3	6502.9	8568.38	10013.1
CYC1	13142.5	20039.1	24743.2	18037.9	12117.9	34173.8	17899.5	16500.5	51407.1	78941.3	66930.3	47891.9	60695.2	99580.2	103857	60947.5
CYCS	49754.4	73266.4	126500	68247.1	37994.1	52019.9	43440.5	50203.6	120715	174004	135755	105568	222868	232327	219815	185348
CYFIP1	46344.9	48859.3	49976.4	43123	50036.6	52254.4	49757.1	43607.5	107149	117028	91182.2	104313	124407	133464	130603	122577
CYFIP2	4875.97	5551.21	6177.75	5190.08	2689.87	2696.25	2976.82	2996.13	17315.2	13346.1	14160.5	14442.6	11046.9	19467	19276.2	17981.6
CYGB	3563.89	4671.28	2955.15	3149.3					1625.74		3876.87	2578.09				
CYHR1	8900.84	6806.17	5317.78	5619.73	4654.28	5328.02	4835.58	5174.61	5487.63	4226.88	4316.32	4238.91	5870.56	4591.26	4768.67	4338.15
CYLD	7825.72	5435.64	5225.01	4428.89		5440.14	7003.96		7716.42	5634.43	12212.5	10221.2	10497.4	6380.36	8042.97	10552.5
CYP1B1	10571.7	11842.1	9318.77	8334.76					4863.43		5740.23					7676.91
CYP20A1	24605.8	26072.2	27651.8	26591.4	7611.11	10288.9	7480.56	10345.4	23182.3	26904.6	22472.1	28046.8	21232	26414.6	23008.7	23555.1
CYP27A1	61987.6		3576.96		18349.8	17294	18558.9	17347.5	25247.5	8898.35	26888.5	17369	125672	119045	148363	129089
CYP27C1	5038.08	4075.12	5494.12	5119.43									2119.63			
CYP2S1		1010.66	257.154	492.97					18304.1	19418.7	14934.7	17863.7	23745	20980.4	19791.4	27782
CYP2U1	5499.5	4761.6	5618.57	4539.17	1981.13	2238.58	3022.86	2322.04	3084.78	2013.79	2352.42	3862.35		1233.18	1967.4	2570.27
CYP4F22	1506.23		2528.48				1286.12	952.175	835.245	717.167	1497.45	1158.79	5401.52			
CYP4V2	1558.93		1002.77	891.316					2303.54	2776.81	3488.68	3006.94	2549.78	2383.45	2645.01	3080.47
CYP51A1	20675.1	22241.5	27468.5	21320.7	21902.8	20230.6	12830	13572.4	17692.2	18810.9	17829.4	16644.3	10959.2	10088.9	12367.9	12533.1
CYSTM1		7509.31		5435.48		6355.85			23907.5	8205.81	17309.2	23129.7	17752.2	7049.59	6418.7	16587.6
CYTH1	4169.46	3493.12	4295.25	4059.57	3640.96	3599.54	1958.23		7585.33	7261.84	8293.34	8623.68	6131.31	5519.29	4577.13	7806.16
CYTH3	47186.5	26226.2	24384.3	6025.01	109507	33873.7	50001.8	30572.2	92393.4	33007.9	106368	113242	137985	18282.7	27454	82748.1
CYTH4						5638.75			23364.8	28450.6	24319.5	29223.5	21726.7	14562	18962.7	18619.5
CZIB	45269.9	40804.1	43827.6	44821.2	25961.3	22471.6	25484.4	26579.9	49555	50482.8	52093	41066.6	44735.9	51989	45054.8	43765
D2HGDH						3194.78			4491.66	6567.27	6833.41	4821.17	4924.35	4645.79	3987.94	3260.52
DAAM1	6124.85	5677.66	4696.21	4330.85	3485.31	3345.02	3542.31	3709.93	5281.98	6166.22	4882.48	6404.26	5016.71	2760.81	1969.32	4120.64
DAAM2	5708.23	5914.95	4956.84	4579.85					3167.02							
DAB2	69905	76051.2	73650.7	73897.8	8684.13	11730.3	14208.8	7279.01	304342	393311	264540	296403	55434.6	58240.3	56764.6	58413.8
DAB2IP	3932.74	5111.87	3899.54	4682.37		3010.83	2565.45	2128.64								
DACH1						5510.13			3322.32							
DAD1	69856.5	71556.5	43485.6	60810.7	43961.2	53559.3	32760.6	27066.4	90611.9	82133.7	71222.6	76617.4	67538	72258.8	74604.5	61082.6
DAG1	13621	14972.5	15369.5	14515.2	15881.1	14357.2	16528.1	10737.8		3269.92			7839.81	3197.81	2788.64	
DAGLB	5104.73	8029.65	7216.11	6427.63	6445.43	6364.38	6696.37		16544	16222.1	15850.7	15500.3	11581.4	11904.1	13290	12726.4
DAP	10975.8	12023.1	7755.86	13131	3552.41	6652.9	6255.6	5815.69	5229.32	6347.4	5207.74	6701.19	5019.25	3822.81	5731.94	4741
DAP3	18567.8	15701.1	14781.1	13590.6	22372	23510.8	18369.1	20427.4	29625.9	24845.3	27614.1	30887.9	39289	41320.1	47418.5	40510.5
DAPK1	6772.95	7581.41	7515.9	7121.9		1108.67	7209.12		8722.61	7909.41	8009.45	8675.58	8238.12	8488.05	9242.07	8336.19
DAPK3	25719.6	31799.3	20668.6	29518.7	20725.2	19031.3	19545.7	20460.1	6750.67	7336.72	11013		7828.92	7689.2	7557.68	
DAPP1	4827.85		8227.01			2263.1	3362.7		7888.38	5072.25	8165.84	13437.4	9507.9	6531.82	5693.55	9093.23
DARS1	102564	115946	97403.6	112862	154852	162626	157163	143828	139838	135626	113772	129067	132712	159167	163944	147766
DARS2	12385.3	12755.9	14038.6	14829.8	18501.5	17978.8	22086.3	22775.6	31394.9	29115.2	27254	31043.8	36934	30154.6	31008.6	30681.3
DAXX	1936.31	2252.01	3343.04	2301.58					2397.88	2843.67	4853.1	4356.95	3366.55	3863.55	2647.65	4110.37
DBI	14599.7	8491.61			14811.5	14329.2	7398.38		128957	16545.1	89207.5	60649.9	109953	36569.5	85364.3	106783
DBN1	209316	249854	309900	248301	49047.1	79234.6	65658.3	51148.6	11515.3	7301.56	40540.3	6843.63	25010.4	11990.5	24517.5	21493.7
DBNL	39248	38719.9	39116.6	31597.5	21262	22661.8	24352	27854.8	58820.4	50279.3	60289.4	57834.5	74022.2	86665.7	85911.3	83381.3
DBR1	13636.8	11044.2	11173.3	12432.4	20406.1	17082.6	19104.8	17519.1	16835.5	16081.9	14457.6	15769.4	18954.9	18104.1	17583.3	17244.8
DBT	7055.13	9020.37	6103.16	6702.63	12152.4	13431.8	13340.9	11251.9	16556.3	13580.6	15514.3	12132.5	17075.4	16884.2	17062.6	14812.9
DCAF1	3691.66	3529.59	3794.04	3636.95	7578.11	8452.56	8774.28	7961.94	6051.56	5347.3	4888.63	6128.67	5894.75	6132.31	5510.45	5961.09
DCAF10	1020.03	437.963	273.306	360.111		666.655		617.26					332.379		267.368	
DCAF11	1450.14	1847.01	1471.05	2201.11	1904.02	1169.38	1199.11	1888.13	720.872	1588.1	1711.76	1522.19	1717.46	1315.33	1531.34	1237.81
DCAF13	5782.05		6997.75	7038.36	8301.74	8859.58	8940.13	8084.34	5891.23	6647.16	3992.06	6485.57	6899.31	9598.75	9341.91	8756.68
DCAF5	9286.16	7747.16	5654.17	6507.01	4656.51	5532.6	4746.29	5806.74	8264.58	5314.64	6372.67	7928.13	7807.13	5615.44	5904.66	6697.21
DCAF7	5768.05	6152.6	9127.18	5799.87	3898.98	4029.89	3140.8	2657.41	7404.43	7359.56	7462.57	7844.67	6686.92	7747.7	7061.94	7909.3
DCAF8	4845.65	5337.53	5488.64	5538.54	2420.12	3441.41	3731.61	4453.07	4325.85	3090.75	3172.12	3833.06	4537.87	3772.17	3580.94	4344.94
DCAKD	29192.1	27834.7	34248.6	28459.7	21545.6	22412.1	21581.4	23257	15050.6	15869	15553.6	18219.8	15986.3	15914.2	14396.7	14827.1
DCD	837948	598349	695961	197171	933783	709870	928448	723804	1.2893e+06	575071	984557	1.13765e+06	1.37151e+06	979469	372759	938863
DCK	15187.9	12464.9	11206.4	12248.6	26802.3	24590.2	25215.4	25185.6	37320.8	27481.1	27472	35828.4	24251.5	23504.2	24209.4	27464.9
