Genes	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_AST_50cell_S2-A4_1_8446.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_AST_50cell_S2-B4_1_8447.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_AST_50cell_S2-C4_1_8449.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_AST_50cell_S2-D4_1_8455.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_GSC_50cell_S2-A1_1_8441.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_GSC_50cell_S2-B1_1_8442.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_GSC_50cell_S2-C1_1_8452.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_GSC_50cell_S2-D1_1_8456.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MAC_50cell_S2-A7_1_8453.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MAC_50cell_S2-B7_1_8454.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MAC_50cell_S2-C7_1_8448.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MAC_50cell_S2-D7_1_8451.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MIC_50cell_S2-A10_1_8443.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MIC_50cell_S2-B10_1_8444.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MIC_50cell_S2-C10_1_8445.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MIC_50cell_S2-D10_1_8450.d
NELFB	7669.29	8559.02	8340.37	7556.03	9647.67	11798.2	10221.4	9983.81	11112.5	8967.56	9078.54	9841.25	11538.2	10381.2	9854.68	10409
NELFCD	5781.98	5309.77	6006.42	5653.26	9633.15	11740	10701.7	11231.1	6683.32	4787.87	6075.32	7710.85	5743.94	5189.38	5518.58	6112.34
NELFE	8779.06	8259.49	6646.9	6979.16	10444.9	10950.9	11635.3	10187.3	6932.06	6046.65	6818.72	7568.84	9058.62	8186.98	7379.32	8831.76
NEMF	35016.4	34373.5	25570	31978.7	13995.2	13092.8	12841.7	13494.4	32595.8	25585	27372.2	32323.4	36907.6	35354.9	32614.7	37074.8
NEMP1	4098.97	4908.99		3324.33	4342.33	4689.08	6129.08	4786.65	6170.59	6158.47	6895.09	8237.87	5023.08	4318.67	4104.88	5377.81
NENF	32892.6	35785.6	32733.6	39475.7	17542.6	19457.6	16896.6	20038.7	29831.5	34427.5	26519.5	32162.5	14485.7	17122.7	19675	16382.5
NEPRO	4001.32	4330.03	3510.38	3472.38	5761.43	5718.48	5150.41	5061.21	3174.85	3018.36	1908.01	2459.63	3979.81	3042.26	3574.46	3150.89
NES	120936	95118.5	93689.3	58980.9	198134	238557	233001	228724	27326	19233.8	24489.1	21213.5	47069.7	34885.1	41218	46249.3
NEU1	20221.1	15546	16227.4	21747.2	10573.6	10959.6	12429.9	14169.6	14804.9	9952.59	8632.54	13124.5	18320.7	12596	13683.3	15098.7
NEU2	1657.97										1891.72	1897.31	4395.64			
NEXN	66185.5	69702.3	62562.1	68276.4	11811.4	11542.1	11506.4	9075.87			4716.24					
NF1	11385.3	12213.2	10744.6	12157.1	3019.55				6880.75	6364.4	7309.48	8105.06	7613.38	6680.13	5891.45	6986.49
NF2	10497.7	11688	10797.8	12283.1	12158.7	13635.5	11811.7	13006.6	6867.82	5851.57	6081.78	5456.02	6689.48	4943.24	5513.5	5261.08
NFAM1									12517.4	11965.3	9148.58	12563.1	4992.87	5885.64	5207.99	6035.23
